song,singer,1일,2일,3일,4일,5일,6일,7일
Blueming,아이유,545,5786,5965,5966,5971,5994,5994
늦은 밤 너의 집 앞 골목길에서,노을,18,29,37,42,46,52,67
Love poem,아이유,192,818,1140,1391,1499,1720,1806
이 번호로 전화해줘,바이브,3,6,13,22,33,49,66
시간의 바깥,아이유,224,1318,1329,1336,1341,1348,1351
HIP,마마무,503,1268,2191,3106,4495,8803,10449
unlucky,아이유,79,314,319,319,321,327,339
그 사람,아이유,111,441,456,464,468,477,484
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU ,10,14,29,39,43,54,80
자장가,아이유,70,322,327,327,328,331,331
새 사랑,송하예,26,48,77,104,131,160,189
조금 취했어 ,임재현,24,50,78,104,129,153,180
인기 ,MC몽,26,51,77,101,129,154,179
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,3,3,9,10,12,13,18
사랑이란 멜로는 없어,전상근,0,6,15,16,17,18,18
있어줘요,장덕철,24,47,74,98,123,146,170
불티 ,태연 ,78,162,231,325,396,475,557
이별주,황인욱,1,3,3,3,4,4,4
오늘도 빛나는 너에게 ,마크툽 ,5,15,40,46,49,54,59
안녕,폴킴,34,64,94,124,154,180,209
시든 꽃에 물을 주듯,HYNN ,2,3,7,10,14,15,21
포장마차,황인욱,2,12,38,60,64,68,94
니 소식,송하예,2,16,49,74,100,127,153
차가워진 이 바람엔 우리가 써있어,HYNN ,2,5,8,13,16,23,29
샤넬 ,MC몽,2,8,22,48,72,95,119
LION,nan,2,8,22,48,72,95,119
워커홀릭,볼빨간사춘기,2,10,22,29,47,67,85
작은 것들을 위한 시 ,방탄소년단,16,37,58,90,112,146,178
허전해,폴킴,2,3,8,11,42,45,46
2002,Anne-Marie,81,164,278,676,737,766,792
사랑에 연습이 있었다면 ,임재현,0,2,3,3,3,4,6
가을밤 떠난 너,케이시 ,2,3,5,5,9,10,11
다시 만날까 봐,V.O.S,0,0,0,0,0,0,0
사랑이 식었다고 말해도 돼,먼데이 키즈 ,2,3,3,4,5,6,6
우리 어떻게 할까요,첸 ,114,132,145,156,166,181,203
기억해줘요 내 모든 날과 그때를,거미,0,2,3,3,3,3,5
헤어지자 ,휘인 ,4,7,12,17,21,23,28
Señorita,Camila Cabello,225,466,648,847,1067,1293,1696
BAND,Shawn Mendes,8,13,15,21,25,29,41
술이 문제야,Camila Cabello,0,0,0,0,0,0,0
꿈속에 너 ,Shawn Mendes,0,0,0,0,0,0,0
5월의 밤,Camila Cabello,0,0,0,0,0,0,0
이별은 늘 그렇게 ,Hash Swan,0,0,0,0,0,0,0
Feel Special,ASH ISLAND,0,0,0,0,0,0,0
"모든 날, 모든 순간 ",김효은,0,0,0,0,0,0,0
그대라는 시,창모 ,0,0,0,0,0,0,0
떨어지는 낙엽까지도,Hash Swan,0,0,0,0,0,0,0
bad guy,ASH ISLAND,0,0,0,0,0,0,0
안녕이라는 말,김효은,0,0,0,0,0,0,0
Forever 84,창모 ,1,1,1,1,1,1,1
