song,singer,1일,2일,3일,4일,5일,6일,7일
Blueming,아이유,522,3165,3217,3218,3220,3226,3226
늦은 밤 너의 집 앞 골목길에서,노을,20,30,38,42,45,52,64
Love poem,아이유,130,555,649,711,752,804,834
이 번호로 전화해줘,바이브,3,6,13,20,31,44,58
시간의 바깥,아이유,216,1791,1794,1799,1802,1807,1810
HIP,마마무,448,943,1493,1975,2884,5944,6390
unlucky,아이유,49,246,249,249,250,255,264
그 사람,아이유,84,382,394,400,404,412,417
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU ,10,14,31,41,46,59,86
자장가,아이유,49,257,260,260,260,263,263
새 사랑,송하예,3,3,8,11,14,19,24
조금 취했어 ,임재현,1,5,9,11,12,13,16
인기 ,MC몽,3,6,8,8,11,13,14
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,3,3,9,10,12,13,16
사랑이란 멜로는 없어,전상근,0,6,15,16,17,18,18
있어줘요,장덕철,1,2,5,5,6,6,6
불티 ,태연 ,48,82,116,154,177,213,244
이별주,황인욱,1,3,3,3,4,4,4
오늘도 빛나는 너에게 ,마크툽 ,5,16,42,47,51,56,61
안녕,폴킴,14,27,33,39,45,48,54
시든 꽃에 물을 주듯,HYNN ,2,3,6,7,11,12,18
포장마차,황인욱,2,4,6,6,6,8,10
니 소식,송하예,2,8,15,16,18,22,24
차가워진 이 바람엔 우리가 써있어,HYNN ,2,5,7,12,13,21,25
샤넬 ,MC몽,2,3,4,6,6,6,6
LION,nan,2,3,4,6,6,6,6
워커홀릭,볼빨간사춘기,2,7,12,15,15,20,24
작은 것들을 위한 시 ,방탄소년단,16,36,59,90,142,170,207
허전해,폴킴,2,3,7,10,45,48,49
2002,Anne-Marie,79,174,291,684,739,770,792
사랑에 연습이 있었다면 ,임재현,0,2,3,3,3,4,6
가을밤 떠난 너,케이시 ,2,3,5,5,9,10,11
다시 만날까 봐,V.O.S,0,0,0,0,0,0,0
사랑이 식었다고 말해도 돼,먼데이 키즈 ,2,3,3,4,5,6,6
우리 어떻게 할까요,첸 ,40,55,65,71,81,91,99
기억해줘요 내 모든 날과 그때를,거미,0,2,3,3,3,3,5
헤어지자 ,휘인 ,3,6,10,15,18,19,24
Señorita,Camila Cabello,209,407,562,717,882,1047,1354
BAND,Shawn Mendes,8,13,15,21,25,29,41
술이 문제야,Camila Cabello,0,0,0,0,0,0,0
꿈속에 너 ,Shawn Mendes,0,0,0,0,0,0,0
5월의 밤,Camila Cabello,0,0,0,0,0,0,0
이별은 늘 그렇게 ,Hash Swan,0,0,0,0,0,0,0
Feel Special,ASH ISLAND,0,0,0,0,0,0,0
"모든 날, 모든 순간 ",김효은,0,0,0,0,0,0,0
그대라는 시,창모 ,0,0,0,0,0,0,0
떨어지는 낙엽까지도,Hash Swan,0,0,0,0,0,0,0
bad guy,ASH ISLAND,0,0,0,0,0,0,0
안녕이라는 말,김효은,0,0,0,0,0,0,0
Forever 84,창모 ,1,1,1,1,1,1,1
