name,price,sweet,bitter,fruity,acidity,aging,soft
Fattoria Montecchio 2011 Riserva  (Chianti Classico),19,1.0,5.0,5.0,3.0,1.0,3.0
Beaulieu Vineyard 2013 Tapestry Reserve Red (Napa Valley),65,3.0,3.0,5.0,3.0,4.0,5.0
Tenuta Le Calcinaie 2014  Vernaccia di San Gimignano,16,1.0,5.0,5.0,5.0,3.0,4.0
DFJ Vinhos 2009 Portada Tinto Red (Lisboa),9,5.0,5.0,3.0,3.0,3.0,5.0
Louis Latour 2014 Les Chaillots Premier Cru  (Aloxe-Corton),90,3.0,5.0,5.0,5.0,2.0,1.0
Jaffurs 1999 Stolpman Vineyard Syrah (Santa Barbara County),32,3.0,5.0,5.0,3.0,4.0,5.0
Greywacke 2013 Sauvignon Blanc (Marlborough),20,3.0,3.0,3.0,3.0,3.0,1.0
Silverado 2012 GEO Cabernet Sauvignon (Coombsville),75,3.0,5.0,5.0,3.0,3.0,5.0
Ch창teau Cantemerle 2008 Barrel sample  (Haut-M챕doc),,5.0,3.0,5.0,3.0,5.0,3.0
Domaine Zinck 2009 Eichberg Grand Cru Riesling (Alsace),35,5.0,3.0,4.0,5.0,4.0,3.0
Canard-Duch챗ne NV Charles VII Brut  (Champagne),,3.0,3.0,3.0,5.0,5.0,3.0
Icardi 2012 Parej  (Barolo),,3.0,5.0,5.0,5.0,4.0,3.0
Ch창teau Fourcas Dupr챕 2012 Barrel Sample  (Listrac-M챕doc),,1.0,5.0,5.0,3.0,3.0,1.0
Mercer 2012 Reserve Cabernet Sauvignon (Horse Heaven Hills),42,3.0,3.0,3.0,3.0,5.0,3.0
Fonseca 2005 Quinta do Panascal  (Port),50,3.0,5.0,5.0,3.0,3.0,2.0
Ch창teau des Augustins 2012  C척tes de Bordeaux,18,3.0,3.0,5.0,3.0,4.0,5.0
Bernier 2012 Chardonnay (Val de Loire),11,3.0,3.0,5.0,5.0,1.0,3.0
White Oak 2011 Sauvignon Blanc (Russian River Valley),16,5.0,3.0,5.0,5.0,3.0,3.0
Sobriquet Winery 2010 Pinot Noir (Santa Maria Valley),38,5.0,3.0,5.0,5.0,3.0,3.0
Terre del Principe 2007 Centomoggia Casavecchia (Terre del Volturno),58,5.0,5.0,5.0,3.0,2.0,5.0
Dry Creek Vineyard 2003 Endeavor Cabernet Sauvignon (Dry Creek Valley),55,5.0,5.0,4.0,3.0,4.0,3.0
Educated Guess 2010 Cabernet Sauvignon (Napa Valley),20,5.0,5.0,5.0,3.0,5.0,3.0
Villa Gianna 2011 Vigne del Borgo Sauvignon (Lazio),15,3.0,3.0,5.0,3.0,2.0,3.0
Negretti 2013  Barolo,49,4.0,5.0,5.0,3.0,4.0,3.0
Astrolabe 2011 Province Pinot Noir (Marlborough),29,3.0,3.0,5.0,3.0,3.0,3.0
Barra of Mendocino 2011 Pinot Noir (Mendocino),20,3.0,3.0,3.0,3.0,5.0,3.0
Ch창teau Fourcas Hosten 2003  Listrac-M챕doc,25,3.0,3.0,3.0,3.0,4.0,1.0
Huber 2014 Zweigelt Ros챕 (Weinland 횜sterreich),20,3.0,3.0,3.0,3.0,3.0,3.0
Villadoria 2016 Fur챔t  (Dolcetto d'Alba),15,1.0,5.0,5.0,3.0,2.0,5.0
Les Clos de Paulilles 2009 Rimage  (Banyuls),24,5.0,5.0,5.0,3.0,5.0,3.0
Domaine Sainte Lucie 2009 MiP* Made in Provence Ros챕 (C척tes de Provence),17,3.0,3.0,5.0,3.0,4.0,5.0
Kuentz-Bas 2015 Trois Ch창teaux 'E' Sylvaner (Alsace),27,3.0,3.0,3.0,5.0,3.0,3.0
Ch창teau Jean-Pierre Gaussen 2004 Longue Garde Mourv챔dre (Bandol),,3.0,5.0,5.0,3.0,5.0,1.0
Novy 2006 Keefer Ranch Chardonnay (Russian River Valley),19,5.0,3.0,4.0,5.0,4.0,3.0
Mas de Monistrol 2007 Premium Cuv챕e Brut Mill챕sime Sparkling (Cava),12,3.0,3.0,5.0,5.0,4.0,3.0
Domaine des Croix 2011 La Vigne au Saint  (Corton),129,3.0,3.0,3.0,5.0,5.0,3.0
Verderol 2009 Spring in a Bottle Verdejo (Rueda),14,4.0,3.0,5.0,5.0,3.0,3.0
Joseph Mellot 2012 Le Troncsec  (Pouilly-Fum챕),25,3.0,3.0,4.0,5.0,5.0,5.0
Consejo de la Alta 2011 Crianza  (Rioja),27,3.0,3.0,5.0,3.0,3.0,3.0
J. Portugal Ramos 2016 Loios Tinto Red (Alentejano),9,3.0,3.0,5.0,5.0,4.0,5.0
Palmina 2008 Nebbiolo (Santa Barbara County),32,3.0,5.0,5.0,5.0,3.0,3.0
L. Tramier & Fils 2010 Bourricot Pinot Noir (Vin de France),12,5.0,3.0,5.0,3.0,2.0,5.0
Hendry 2011 Block 24 Primitivo (Napa Valley),35,5.0,3.0,5.0,3.0,3.0,1.0
Lagosta 2010 Vinho Ros챕 (Vinho Verde),,3.0,3.0,5.0,3.0,3.0,3.0
Circe 2011 Verdejo (Rueda),20,5.0,3.0,3.0,3.0,3.0,3.0
Eric Kent 2013 Small Town Pinot Noir (Sonoma Coast),50,3.0,5.0,5.0,5.0,5.0,3.0
Trer챔 2015 Arl첫s Albana (Romagna),15,3.0,5.0,5.0,5.0,3.0,4.0
Finca El Origen 2015 Estate Chardonnay (Mendoza),10,3.0,3.0,5.0,3.0,3.0,3.0
Wellington 2006 Chardonnay (Sonoma Valley),18,4.0,3.0,5.0,4.0,5.0,3.0
Rosenhof 2012 Trockenbeerenauslese Welschriesling (Burgenland),30,5.0,3.0,5.0,4.0,2.0,3.0
Lucienne 2014 Lone Oak Vineyard Pinot Noir (Santa Lucia Highlands),50,4.0,4.0,5.0,3.0,3.0,3.0
Bomb 2011 Pinot Noir (Willamette Valley),50,5.0,3.0,5.0,5.0,3.0,3.0
Baron Philippe de Rothschild 2005 Mouton Cadet R챕serve  (M챕doc),15,3.0,5.0,5.0,5.0,1.0,2.0
McWilliam's Hanwood Estate 2007 Chardonnay (South Eastern Australia),12,5.0,3.0,3.0,3.0,3.0,3.0
Goose Ridge 2011 g3 Merlot (Columbia Valley (WA)),16,3.0,5.0,5.0,4.0,3.0,5.0
Cosme Palacio y Hermanos 2004 Reserva  (Rioja),25,4.0,3.0,5.0,3.0,5.0,3.0
Nicholls 2005 Pinot Noir (Santa Maria Valley),35,5.0,4.0,5.0,3.0,4.0,3.0
Lenn챕 Estate 2014 Pinot Noir,38,5.0,5.0,5.0,3.0,2.0,3.0
Mount Baker 2007 Barrel Select Syrah (Yakima Valley),14,3.0,3.0,3.0,3.0,3.0,3.0
Samuel Louis Smith 2014 Radian Vineyard Pinot Noir (Sta. Rita Hills),44,3.0,3.0,5.0,3.0,3.0,3.0
Lucas Carton 2005 Red (C척tes du Rh척ne),11,5.0,3.0,3.0,4.0,5.0,3.0
Stony Lonesome 2013 Estate Reserve Sauvignon Blanc (Finger Lakes),16,3.0,3.0,3.0,3.0,5.0,1.0
Marchesi di Barolo 1995  Barolo,50,3.0,5.0,5.0,5.0,4.0,1.0
